100000 100000
1 649438162 240789611
1 801295135 290362186
1 825405925 646000433
1 206905021 676663454
1 121279388 380693113
1 97402227 656690175
1 246635844 565191398
1 795565280 832474738
1 549585167 343714600
1 815355238 582333559
1 670869595 16136415
1 32566943 537259594
1 403285020 345919786
1 435729497 179398387
1 355618978 441173645
1 967137370 374053447
1 141104842 727133206
1 294265323 855423198
1 840253977 296128767
1 35955402 859536607
1 242369175 869729513
1 215517389 188823012
1 749494421 761144092
1 994467202 145039413
1 244688376 839330005
1 815813281 838211319
1 88030034 52032302
1 436819068 518970430
1 325156600 354073163
1 507264587 878813697
1 918344330 441161899
1 182544395 62493780
1 275402649 658041036
1 129670614 471086371
1 570653006 303104340
1 988259582 40268776
1 867105733 415004567
1 52261393 622377684
1 185097432 376218768
1 597369748 300283489
1 219341903 397425469
1 616728796 604793950
1 306818788 388112047
1 767216067 108621481
1 71038570 737316836
1 649605989 913974353
1 746336789 23409174
1 243491913 412234256
1 803695754 42397848
1 317720559 285088671
1 754155592 644550150
1 168246803 635538569
1 694577806 841058928
1 187223015 593670250
1 227073313 135709450
1 56461327 905234562
1 385245958 165620401
1 470136222 987145841
1 73453349 520318196
1 358245716 284581202
1 842978191 777815456
1 737259480 932415748
1 261511717 475885857
1 389900026 77129985
1 652664400 777080502
1 949748848 182940185
1 638665156 922009186
1 91909258 116630522
1 919555938 329821085
1 8330573 425503356
1 635084454 870692788
1 43090271 309174236
1 638789463 863753288
1 10538253 22759117
1 114756749 276365437
1 648968607 145934736
1 830425260 461122967
1 303212318 110734295
1 506576087 399117501
1 931866562 283069963
1 766923575 280654309
1 390573496 658722040
1 614009644 1162873
1 901548774 478609964
1 102736524 115906680
1 683367444 614087152
1 505850593 736136656
1 76634155 293033463
1 234700756 481125131
1 185048274 342998840
1 916496048 441857383
1 792177893 528214829
1 582141551 117551925
1 443393885 352770105
1 718832592 823859369
1 606558612 325719575
1 967295671 887134707
1 308842204 242947829
1 130661881 305946733
1 485229949 57323762
1 317522139 97727378
1 307414701 20708672
1 422184125 362619187
1 709940688 346979062
1 53634476 284484970
1 532820149 894414831
1 185805763 189214581
1 314994884 364804111
1 20702481 54247353
1 774340225 378239333
1 847682126 586977484
1 8328323 973644762
1 232281436 621803184
1 38819911 404194067
1 189213612 482874255
1 974912978 62194636
1 833541596 90753169
1 866671672 916697350
1 59153687 497046004
1 246371356 414908876
1 782426959 507910
1 383641495 909676749
1 356978716 464948672
1 964909935 237753979
1 116469867 944430830
1 236050560 692444489
1 370419373 876287936
1 885448592 465790612
1 804598686 978569021
1 219263041 864970413
1 8543619 297157340
1 810187731 778872937
1 118233196 515930275
1 757550070 860967074
1 548808102 168485027
1 997133778 658004236
1 701395377 607341434
1 41285427 246953608
1 795201435 159782764
1 80458663 147030009
1 374799947 693172578
1 528184533 293028011
1 925418107 425552775
1 943156449 846618414
1 550486739 464049675
1 107156890 833027553
1 683485850 249631725
1 214811454 416096771
1 956043123 537099985
1 390399661 884560842
1 363086786 44066106
1 247652768 476763890
1 196431461 534178166
1 230893240 912713129
1 424962019 953527058
1 616643126 164938260
1 933986129 192389111
1 265794253 438024411
1 377212325 435820331
1 789334645 340890996
1 621193759 130994377
1 309475503 942364465
1 753376346 432664510
1 403266386 32738148
1 544018975 134522477
1 172056290 237077168
1 947323914 229263740
1 560557545 279899426
1 855947977 72181833
1 25660959 225482022
1 252186960 166496120
1 771417323 852170722
1 916081581 65845102
1 780553733 936474655
1 962802071 318105730
1 564860106 726081802
1 835909344 290325934
1 427260909 936265642
1 731489805 598252138
1 114069348 46592221
1 799986054 763474289
1 599655768 273737405
1 687385481 218736885
1 82089963 1506767
1 22056335 772108570
1 82724839 727428042
1 763428697 524298232
1 642079005 109489438
1 380240520 584064746
1 763599906 254324248
1 421465813 174851285
1 914949632 575552504
1 29905419 902182313
1 48496882 629267070
1 157774924 373822201
1 27249034 353476205
1 665948943 66600484
1 376444284 205235704
1 493213710 948925128
1 967636608 174811925
1 52025994 960993985
1 749371548 843501228
1 83769541 751360311
1 875102808 884879400
1 413644651 721084018
1 703184470 611856427
1 455109560 837107953
1 541549245 575443307
1 35245874 257874902
1 794315544 302998256
1 178202068 95447889
1 433779773 977146893
1 299259094 240891584
1 304220554 23771218
1 553750599 485169873
1 79023740 445577843
1 962419926 337845656
1 3268418 38188729
1 496049982 580529820
1 17800804 470864473
1 937986204 56678001
1 906785443 444476320
1 31813176 108104576
1 218028213 793074109
1 282334683 407640958
1 247062776 298186581
1 991878292 730385630
1 869557464 26079613
1 616660063 242576997
1 681388890 365763357
1 69313699 457675928
1 548662759 80210295
1 697823907 711187260
1 599502551 993586580
1 440447477 224614730
1 650501142 926425295
1 395524157 112619234
1 184477235 689986024
1 266637095 364262954
1 583376625 548087820
1 490731771 37165648
1 285244863 926912337
1 313386207 97573536
1 229238735 229756427
1 470850479 106761358
1 912292798 664794984
1 640745349 169569516
1 152787531 657075352
1 264091826 535599811
1 6821681 628337854
1 427969173 748135386
1 105742400 243540731
1 476045760 524503245
1 856240757 343462930
1 568089696 171226110
1 678813549 31680110
1 283190633 554185657
1 472344072 232753723
1 944561904 845780482
1 230364 724244101
1 567885164 28624080
1 674308328 828863477
1 938953177 276207683
1 789143922 75871760
1 366004463 836823211
1 826713225 349976485
1 587033361 522802587
1 156060815 836584718
1 859196341 832860759
1 150535677 317387173
1 549264395 247466890
1 750047801 324383517
1 722158303 884509324
1 459848040 19846374
1 912582898 452559812
1 445185936 199978782
1 724452280 430170048
1 373014400 541233785
1 194175964 487767155
1 805499395 84399655
1 175905891 512811765
1 955757774 243228058
1 639985482 283386729
1 120528760 442768777
1 564658862 284236119
1 174295665 12525725
1 654028607 437492503
1 680760399 894638424
1 340060667 738624180
1 106141807 513923239
1 593989753 681787415
1 494891723 234002208
1 8811905 72799339
1 680058731 839122583
1 178539951 479280176
1 848414250 6883670
1 559303916 477971871
1 823550829 679656666
1 472239500 622695766
1 601495853 928253520
1 160139 543972526
1 891269500 661027253
1 943772047 455555765
1 819206990 687198591
1 757514769 60641745
1 628728226 415751142
1 674697227 715616607
1 688917932 204837078
1 364705470 686505752
1 355711392 994375743
1 62880876 862885764
1 61482052 975170913
1 216333726 231118511
1 580294640 81752031
1 332049840 244640905
1 144699964 813785122
1 246666277 76678829
1 518774124 46073826
1 658202335 718378648
1 874451466 675192641
1 526536911 518732468
1 28141645 323203753
1 2220279 247480663
1 41283914 221524617
1 299449507 293679228
1 467891284 911178521
1 856991564 284395719
1 792387430 902419541
1 167109183 488406983
1 552970589 614948754
1 141137557 276974211
1 495649678 295071433
1 376653996 434897994
1 426619066 886228576
1 759807326 936941598
1 209913491 493389794
1 419129612 565026724
1 109689121 797066099
1 738448598 590569151
1 24253243 749845818
1 55036026 218015703
1 758271006 92836544
1 717518709 9242836
1 52143538 996093768
1 55645995 86851520
1 106334012 35302536
1 691394593 27889212
1 864796157 459687803
1 810353495 62879769
1 882010590 665349467
1 496959024 826413185
1 960460451 971709105
1 145557807 199166894
1 828089886 658176373
1 671113469 819959439
1 89869761 198542795
1 227766595 257303211
1 859510238 813560344
1 674137404 103627456
1 758369422 599430609
1 973177569 959946631
1 239579487 873578462
1 419463072 520016581
1 852229659 500931901
1 575292671 972542703
1 58832995 963669345
1 306389607 971822990
1 534258112 439938855
1 103301211 16666501
1 762637635 113821080
1 230352789 773792829
1 753486526 136976123
1 532245835 186359090
1 378984060 941577996
1 57536362 84468493
1 582709451 865291215
1 425884375 68673752
1 255716541 506105518
1 176687146 403957599
1 163389368 601007110
1 109270092 403918059
1 154491955 238558462
1 932685594 163638905
1 634312256 570241462
1 636751102 757736891
1 674577025 842865240
1 107081961 928200919
1 798977566 993685649
1 814039437 89986269
1 158588344 367091681
1 641744300 926553444
1 639301590 674115767
1 186359188 107715390
1 628664606 346489802
1 363447904 25430460
1 294996002 251043269
1 714016609 338528027
1 924252854 961477005
1 570631383 732665157
1 432386455 34487737
1 380924833 347895102
1 786166818 786313782
1 747910057 695520686
1 690979934 501166340
1 836970443 737326229
1 957279318 46014302
1 90989705 48593849
1 198272796 269240806
1 212865714 73782943
1 883143620 735336923
1 148018967 761693721
1 957872664 428445936
1 940326218 523566231
1 247734315 847324319
1 942057193 551291998
1 81490192 658573805
1 679106982 668441247
1 287848402 734919370
1 152201098 183809087
1 906452347 288582789
1 942210598 982086186
1 443964046 138510022
1 463585412 409348168
1 286723288 797976126
1 299426316 696886669
1 364825388 554483931
1 813910736 719887140
1 232593646 781170782
1 774567746 907217486
1 16283507 739457558
1 606818789 196525698
1 656521881 185254259
1 323123710 547029285
1 426141731 306110172
1 46560890 303304231
1 460726870 403451586
1 526761451 352114023
1 938701438 133176182
1 503161746 641841714
1 853793753 225877417
1 768821328 963934275
1 963976521 936755479
1 586243550 133350992
1 455013154 9790889
1 56224341 69694507
1 636746976 895412631
1 55556507 168783860
1 636021919 239776445
1 481318844 102396506
1 427694852 639611055
1 959102814 628740516
1 697871492 363464708
1 628698371 706956735
1 811707504 551893984
1 189077822 702640441
1 314786430 8801380
1 124140662 225484997
1 949946758 7224839
1 733903578 718850725
1 105476691 865715440
1 605921506 355297268
1 645036380 421967182
1 2423519 515851696
1 525934291 334937785
1 868595640 40572821
1 900656984 877186032
1 250966962 136826204
1 810357008 328944182
1 263803588 340656108
1 229664359 940768054
1 102194890 188555786
1 376244361 347118559
1 326005426 735389863
1 311583319 215711047
1 308363229 782749592
1 3534358 419896437
1 536186521 638454213
1 326143016 107402768
1 473903662 674979089
1 880359529 40276073
1 197249402 248927024
1 313577406 370592904
1 919233506 353157402
1 435878941 543620048
1 819709150 537067123
1 260573004 524300573
1 799120802 253569454
1 564780855 394110245
1 958207322 403570579
1 997470028 221412114
1 904450377 1211351
1 540900041 401689914
1 40420656 183606449
1 408625459 115386307
1 298773070 455199382
1 33463042 920115027
1 357286822 348318920
1 962894544 79320863
1 341363138 361439229
1 876895533 595932348
1 16237218 754456913
1 564457830 52974942
1 498283276 253775010
1 76769549 421116774
1 4178183 503244977
1 669810480 395459786
1 181137179 33734585
1 492130981 78851648
1 408096443 607127561
1 62349937 736350001
1 925046299 619026660
1 720602645 153864013
1 29052880 251439800
1 307433955 196827003
1 334593111 39723662
1 366716024 911127056
1 425144805 523622644
1 195295412 767955446
1 938114698 861771590
1 789325294 976707317
1 611157857 315818998
1 967465098 587210649
1 186271435 780334366
1 414990266 507493784
1 811973193 367856644
1 656116653 24059626
1 120837271 978440791
1 24757720 284151100
1 413278171 4105599
1 191056788 396362229
1 105916868 28340760
1 367281561 33194249
1 506161359 871234946
1 610335455 171589044
1 681526335 882822894
1 23090980 981517909
1 659501323 868612072
1 822137522 548526034
1 847116683 820995218
1 418765381 885847248
1 362859363 516735039
1 184968663 359481832
1 434005417 474578307
1 32968547 637545659
1 79416040 596513002
1 893479498 149757993
1 334964012 185510897
1 453121146 630088560
1 109632055 837957837
1 936757773 885274654
1 903458203 358128462
1 637658063 968644889
1 726727843 375356812
1 57539564 138284507
1 397817457 1406688
1 656340772 288838943
1 485693762 262694265
1 544386515 16799963
1 558860105 815796404
1 504258822 900528870
1 851197769 337825847
1 485997895 79290302
1 499539389 244934800
1 92626257 429814480
1 331295322 802863830
1 119949830 302626855
1 299407946 595163501
1 84657719 1087497
1 507503672 956653067
1 281451731 245747154
1 171021407 23667763
1 726886516 894690276
1 260715628 980919916
1 206631792 379470945
1 653341409 418152530
1 98430361 756669137
1 368330265 124388132
1 620362735 196359538
1 971736873 368489076
1 25681938 139602566
1 79634851 540628676
1 532164624 968929460
1 382936518 5567967
1 136653277 71607896
1 851675100 124898445
1 732264314 85028088
1 958279558 470157384
1 795722702 330782645
1 337049970 529963582
1 800387579 276475445
1 97788509 499459386
1 96529677 24127854
1 483841382 194514663
1 143391971 305183241
1 380121357 728775852
1 340526887 984449132
1 778978001 222950695
1 920084892 984521444
1 572180589 207388057
1 655173391 350524368
1 429856396 461459064
1 282425248 575261844
1 516306830 380452861
1 779575620 322693571
1 547317837 891404936
1 641766077 145075836
1 246529926 725489797
1 775200636 13802903
1 709903706 79927657
1 72835892 880136632
1 797563793 854722955
1 95709993 718557904
1 48220761 637973786
1 818763858 681930008
1 977342084 878968463
1 10645438 469712343
1 728575037 1870243
1 655015142 631295650
1 306891263 458715725
1 831779728 396325104
1 214982527 936815613
1 664666310 629719054
1 105453849 481809946
1 600701260 458430851
1 644880003 148244012
1 953373205 967966168
1 580841016 527275228
1 502089573 156204348
1 240025038 919503178
1 790055628 573550395
1 745046505 19463878
1 989578577 733781271
1 98196288 910550098
1 59333904 792512320
1 393736581 926579038
1 733385047 593834796
1 570786763 196653170
1 335669513 157964322
1 119729959 902222252
1 948385355 889033451
1 567289328 397321594
1 409344365 106116145
1 146580651 3215404
1 894382215 643842152
1 568913928 932170030
1 134679786 115399364
1 201193717 323541241
1 767513520 812946758
1 221153860 431710641
1 793167095 121347314
1 217637735 465739882
1 153556864 702353201
1 498898271 61387
1 140038813 576210135
1 732464097 940792253
1 440260557 378017584
1 46707321 178412892
1 715266333 15286472
1 3704253 127838055
1 604638878 273004942
1 478531056 345200177
1 608915124 69889691
1 405489042 881695541
1 906235066 138729738
1 63065585 233849124
1 445993628 889956344
1 379900637 521123528
1 477779380 596683527
1 779629366 433024015
1 620922312 218257011
1 324664435 672190596
1 447700196 861978731
1 815395758 56331777
1 363838022 932671323
1 75477210 530116740
1 246468623 695170276
1 47788204 810439228
1 21289971 131235773
1 271334244 999834905
1 118538925 566371706
1 325594151 265541879
1 215919258 500584354
1 512334720 193193148
1 799584099 804772614
1 603999227 52787398
1 541719827 147447687
1 320285589 91369872
1 859300398 227241689
1 618783482 778163200
1 613266662 398766281
1 571920535 924606351
1 673588321 612607710
1 678640193 620074534
1 473741862 103090136
1 6779408 917855543
1 64085718 637828788
1 120761423 851147102
1 697314033 938690952
1 237128891 488600783
1 603097465 136280415
1 765218807 900411013
1 457272170 676872224
1 738030015 204917033
1 587723766 596042609
1 224298283 740420474
1 264955853 24916071
1 865214291 837793578
1 673956528 358611818
1 41284611 26217674
1 128982732 440250410
1 344718535 921021786
1 514566182 190152983
1 9639537 388898343
1 826998338 639881960
1 791603125 605507288
1 97908293 365185427
1 15467586 911175193
1 69753114 607494314
1 801247860 850316330
1 887728671 486877788
1 15166307 142546334
1 35682003 352465486
1 220656268 658616485
1 442092880 754594118
1 488688655 412758457
1 319268859 183057938
1 572452270 478563330
1 964149003 333671737
1 538735539 737148221
1 125302667 73445140
1 570082143 446028134
1 728319092 202191344
1 368194762 348977927
1 656855739 353954724
1 68984889 580838621
1 18909760 781735142
1 57558341 808374615
1 128907523 323696394
1 803553641 594366882
1 8225483 806739373
1 572870213 853458968
1 139233261 483726044
1 81969782 129108347
1 156133545 704452759
1 654015412 8702716
1 643838420 969711354
1 687151468 580647688
1 223986848 801099723
1 386250432 660924321
1 675091548 107540135
1 369415402 182416515
1 101041144 686426078
1 358790290 54323254
1 451482926 806791009
1 63344317 62004063
1 957940432 419939065
1 642845000 98665521
1 162861025 104059475
1 994653412 127187236
1 818165159 357014150
1 653516917 72948192
1 771079187 257064842
1 559185878 641590852
1 520709985 369834948
1 388971879 510148885
1 54288180 326848441
1 279921086 644505472
1 807912564 47363167
1 486695821 131452124
1 369409989 91440224
1 51795872 240817178
1 20780296 800557567
1 383955746 748842365
1 773088889 28893073
1 125080784 993729922
1 203425450 177572126
1 481591106 28831577
1 22388863 479982216
1 87392831 79979716
1 483808927 3548547
1 357917471 417239850
1 134999168 626758853
1 478390366 128106994
1 366722736 23935640
1 615377197 363306027
1 452391986 259998322
1 730103554 128873120
1 334811685 772834655
1 255737328 62494049
1 259280502 483077351
1 542454277 960952024
1 607732535 521469191
1 240759835 591355897
1 496362391 181715520
1 228543801 80397502
1 256956075 864116986
1 75976575 333009707
1 928035287 315340448
1 90183857 744113464
1 698524467 955102367
1 37207903 21441600
1 985526868 1679743
1 765307168 30989271
1 966027587 49283389
1 267201709 470817286
1 901961406 178286469
1 692464452 829140249
1 196363887 398461948
1 642392511 290638908
1 536508903 968782615
1 99122565 298618461
1 843950472 939073047
1 89297326 522067407
1 101136966 587896294
1 365769240 385418966
1 943244472 385558750
1 374186135 114252529
1 209571210 390145390
1 406286043 244505819
1 330137093 309356781
1 545822887 388100403
1 262916751 113467109
1 170076977 975996860
1 427511344 850359393
1 771999750 696581654
1 60705776 227244907
1 931104919 367037944
1 683705783 5583431
1 967060143 223582905
1 4654309 354033580
1 89349702 609372261
1 789716076 309150872
1 104319058 943751854
1 925935589 532938161
1 124968224 101934002
1 342869567 910187668
1 382778748 294389802
1 873992897 410474399
1 146445933 93515047
1 253379853 888095948
1 414823180 994246676
1 659793312 333620254
1 624748756 104791909
1 146729393 769681395
1 586792719 980321209
1 77380940 106830723
1 634555136 564379750
1 121269589 801958476
1 555920620 803995890
1 407941647 507459905
1 327590518 458743696
1 207148547 474637642
1 284555963 878966850
1 644601965 917710287
1 969323720 612815898
1 636142393 117099316
1 42343389 848251766
1 189353567 42119362
1 3895130 40940500
1 58667030 907736393
1 63953882 924049852
1 737886281 729641920
1 629927932 104373414
1 39752030 244953993
1 936424475 725986109
1 308571576 136953974
1 222713773 86386090
1 440097765 789456087
1 116990034 96943011
1 136472224 969112350
1 107166732 998442047
1 969621577 323931203
1 206891193 444256258
1 172697447 68563210
1 596416127 659665940
1 726896518 708288821
1 891656061 715507039
1 975156064 257391
1 995356855 858030433
1 679341842 675271042
1 869682249 975857461
1 67911032 505371776
1 299278429 358833507
1 73613652 860025648
1 347501979 103219791
1 1588918 935141062
1 927004696 967045265
1 413223220 80544142
1 615402452 787766812
1 49549900 708997911
1 331210004 368924204
1 689292765 62204368
1 103596704 126523567
1 632068737 725144697
1 439442654 309402323
1 766530832 329295071
1 613722664 472857307
1 580065655 735189852
1 301824503 408047707
1 794589319 254862318
1 268648007 949406233
1 174637169 664237581
1 750488559 289752282
1 916720404 272146450
1 487867540 497180534
1 611038497 250197703
1 276221767 392571733
1 958528518 713965879
1 452810711 500553387
1 802193168 558238710
1 363556995 711439250
1 737087435 542844149
1 737498119 648254127
1 43506265 65355875
1 822115790 390297732
1 825866968 159320615
1 957509692 770426473
1 705506423 189236274
1 132242903 108379723
1 707212592 947531246
1 941767310 328700780
1 514619653 88840080
1 949903179 422276233
1 755384374 614831332
1 57413877 527851814
1 481217230 394570008
1 257593690 50115478
1 274571909 935200807
1 644221592 612727148
1 681888721 176488386
1 991570637 647573917
1 813662817 848079801
1 413254422 604956156
1 468518526 361311511
1 120866187 464432003
1 204065285 986839314
1 323450166 738807983
1 192200235 493944557
1 59001715 297357669
1 145315391 626869898
1 796267489 542578097
1 662814419 717241722
1 758879259 371305058
1 427040644 381755434
1 858981611 518860943
1 17053431 440163275
1 321458834 482745764
1 68811666 171468376
1 126072351 479127315
1 853067090 897754258
1 844883219 790387769
1 953505355 834506149
1 374731094 683443854
1 39443439 500915997
1 932169263 75598376
1 664477967 966226969
1 744179655 482701457
1 120132586 19701878
1 590681923 567158358
1 14833657 787127303
1 217369963 260263172
1 264507018 278302236
1 199879544 504050678
1 943495969 317501535
1 387188712 398210752
1 451856045 635351101
1 423849647 230738608
1 598545194 935673010
1 345011864 408551348
1 414824472 15961320
1 32164509 570507366
1 399840079 635876290
1 544647490 108039494
1 771374762 136847995
1 232928501 759606404
1 518712534 365435765
1 815339685 320934288
1 822103770 188277592
1 18471562 213897366
1 194979156 747608148
1 398849718 170748139
1 453391471 671452119
1 547193873 955425635
1 946363901 67173003
1 125038239 71654685
1 131700440 581138670
1 857764329 387355192
1 389664093 406771348
1 157709275 417943105
1 598916092 519883333
1 843579040 138866364
1 97815222 948424777
1 137998678 854420964
1 605699015 703836903
1 239790608 126921815
1 744220877 968498189
1 599635702 729466721
1 9423496 614391041
1 570419587 467977079
1 35489345 616451196
1 68489946 645244786
1 224448294 321193126
1 82322187 402506819
1 775900263 827994235
1 881239769 949567871
1 259116164 661510810
1 675454494 558101194
1 636353258 513623724
1 580510024 406743625
1 969241857 29923035
1 800515892 78526967
1 485924786 850547339
1 466980006 273209635
1 187479138 603362217
1 16483676 808730647
1 95156023 204940124
1 315862486 914205396
1 499775519 711582994
1 545929379 384932869
1 676520499 501599475
1 328089044 247535590
1 137419809 508282847
1 956685456 802393903
1 472837854 296318278
1 37963389 248035764
1 668509711 801250251
1 644321304 141103085
1 505551776 8886631
1 687459350 460253168
1 820575095 58619209
1 510517478 70082981
1 967196113 361347048
1 265187339 768017626
1 980348705 19123729
1 644334878 723746372
1 199044733 712789152
1 309297936 105479543
1 676265592 157839751
1 562526522 953219738
1 202066774 964624711
1 875141839 186368348
1 899757256 787843065
1 681179651 351072200
1 431416580 706646366
1 271039398 546346899
1 403032337 394043899
1 105088054 983365744
1 935997418 783868629
1 710776570 363262307
1 812959603 121085407
1 624273525 353014011
1 409068485 118873348
1 876729777 312059972
1 348758526 894652397
1 291771758 895749183
1 871952429 476067075
1 114432605 270928170
1 795947570 815171827
1 172236270 114517381
1 616372336 56221671
1 149731129 473229397
1 355847297 131047431
1 77857864 532557803
1 306035786 113099315
1 887151648 171765393
1 38499941 675930640
1 695343973 40147237
1 621434947 37157446
1 173002006 744835382
1 458249412 714487920
1 707201724 410367701
1 535313776 2614527
1 826680428 946240953
1 324845487 774669335
1 864525785 3491471
1 107827223 568917471
1 656448464 98818387
1 730547947 155335330
1 872294479 575429062
1 104747536 702730659
1 478361763 440354951
1 542094347 354059455
1 557014000 646059305
1 283848945 88038628
1 162744854 151573478
1 80072942 461173172
1 298530739 884330981
1 487943442 772865448
1 514756599 95524208
1 73975971 68596631
1 863600744 843217982
1 897627566 353881587
1 469382916 211233781
1 24401705 743057936
1 780967605 302486771
1 717790299 131405025
1 728850503 543681433
1 324972326 758968761
1 196922905 410964308
1 172028300 766649238
1 103431047 51336506
1 274326728 754905965
1 915947265 955879737
1 28682695 826696515
1 412166742 651671219
1 904790365 272938726
1 987455806 416107426
1 957748124 482785803
1 753868439 906315551
1 14973125 983682332
1 708579326 295909467
1 982061875 747600861
1 438527728 964626570
1 863136215 478330020
1 789447596 884753384
1 701599339 94868543
1 281870229 836992099
1 849901068 373513679
1 687286774 61757052
1 662831534 211914949
1 737524984 99774182
1 767166957 283229711
1 549126416 75937484
1 465694260 138513083
1 217002179 521368425
1 235560086 38982559
1 875511206 951868576
1 193327935 119845634
1 320649703 916066576
1 734632551 85798054
1 844635768 926446106
1 325189257 902939362
1 84225176 173788237
1 952294337 15300868
1 715950758 633515565
1 374452993 304367641
1 907654411 371341036
1 428931562 743138133
1 643519455 903833893
1 287864140 999427936
1 543519848 690134645
1 862803521 122171481
1 441492695 404703058
1 530990591 564309652
1 277937691 314818990
1 617553003 217834048
1 146106140 470559968
1 814839233 499772112
1 403981942 528691027
1 957531231 132432446
1 669073845 899737223
1 479951259 592231881
1 491656832 552280346
1 317360609 677859962
1 462690302 397619927
1 544528708 111670420
1 102689220 468351999
1 352308973 644494432
1 119971884 27793502
1 137793614 909899032
1 220950386 513911839
1 294174489 476259807
1 583634940 240115662
1 167529737 321228542
1 939465881 96267801
1 931186886 390152244
1 461393095 70298348
1 442464469 911944569
1 414331208 168124213
1 239080548 284866699
1 78262506 890924956
1 551804402 342196668
1 65552072 660520349
1 877283970 681942066
